last,first,age,height,wingspan,weight,gp,mp
Cunningham ,Cade,19.78,79,84.25,220,27,956
Mobley,Evan,20.05,84,88,215,33,1120
Suggs,Jalen,20.04,76,77.5,205,30,868
Green,Jalen,19.41,78,79.5,180,15,480
Kuminga,Jonathan,18.75,79,83,210,13,426
Johnson,Keon,19.33,75.5,79.25,185,27,688
Mitchell,Davion,22.84,72,76.25,202,30,991
Wagner ,Franz,19.86,80,82,205,28,887
Sengun,Alperen,18.95,82,84,243,37,1043
Jones,Kai,20.47,82,85.75,221,26,594
Barnes,Scottie,19.93,79,86.75,225,24,595
Johnson,Jalen ,19.55,79.75,84.25,210,13,278
Kispert,Corey,22.35,78,79,224,32,1019
Giddey,Josh,18.74,80,79.5,205,28,900
Moody,Moses,19.1,78,84.75,211,32,1082
